Report_ID,Date,neg,neu,pos,compound
0000898430-99-003541,19990910,0.057,0.777,0.165,1.0
0001012870-00-003358,20000614,0.081,0.775,0.143,0.9999
0001012870-00-004766,20000913,0.081,0.782,0.137,0.9999
0001012870-00-006127,20001208,0.085,0.782,0.134,0.9999
0001012870-01-501180,20010612,0.088,0.766,0.145,0.9999
0001012870-01-501827,20010910,0.056,0.807,0.137,1.0
0001012870-01-502932,20011123,0.076,0.775,0.149,1.0
0001012870-02-002660,20020610,0.076,0.76,0.164,1.0
0001012870-02-003728,20020910,0.078,0.776,0.145,1.0
0001012870-02-004623,20021210,0.076,0.767,0.157,1.0
0001012870-03-002787,20030522,0.086,0.742,0.172,1.0
0001012870-99-001954,19990615,0.057,0.761,0.182,1.0
0001012870-99-004592,19991210,0.074,0.792,0.134,0.9999
0001045810-03-000010,20031121,0.085,0.755,0.16,1.0
0001045810-04-000015,20040520,0.086,0.757,0.156,1.0
0001045810-04-000023,20040819,0.067,0.753,0.18,1.0
0001045810-04-000034,20041122,0.067,0.775,0.158,1.0
0001045810-05-000020,20050602,0.087,0.762,0.151,1.0
0001045810-05-000024,20050825,0.078,0.77,0.152,1.0
0001045810-05-000028,20051123,0.079,0.768,0.153,1.0
0001045810-06-000023,20060531,0.074,0.765,0.161,1.0
0001045810-06-000035,20061207,0.07,0.766,0.164,1.0
0001045810-07-000019,20070524,0.079,0.771,0.15,1.0
0001045810-07-000045,20070822,0.063,0.774,0.162,1.0
0001045810-07-000053,20071121,0.07,0.775,0.155,1.0
0001045810-08-000016,20080522,0.053,0.808,0.139,1.0
0001045810-08-000020,20080821,0.079,0.762,0.159,1.0
0001045810-08-000030,20081202,0.087,0.758,0.155,1.0
0001045810-09-000017,20090520,0.087,0.759,0.153,1.0
0001045810-09-000024,20090820,0.089,0.848,0.063,-1.0
0001045810-09-000036,20091119,0.087,0.852,0.06,-1.0
0001045810-10-000018,20100521,0.092,0.837,0.071,-1.0
0001045810-10-000029,20100830,0.08,0.843,0.077,-1.0
0001045810-10-000045,20101207,0.075,0.846,0.08,-1.0
0001045810-11-000031,20110527,0.087,0.809,0.104,1.0
0001045810-11-000046,20110825,0.083,0.84,0.077,-1.0
0001045810-11-000056,20111122,0.04,0.836,0.124,1.0
0001045810-12-000027,20120523,0.039,0.809,0.153,1.0
0001045810-12-000036,20120822,0.034,0.842,0.124,1.0
0001045810-12-000060,20121119,0.035,0.843,0.122,1.0
0001045810-13-000054,20130522,0.034,0.849,0.118,1.0
0001045810-13-000075,20130821,0.024,0.848,0.128,1.0
0001045810-13-000109,20131119,0.033,0.853,0.114,1.0
0001045810-14-000085,20140521,0.034,0.85,0.116,1.0
0001045810-14-000158,20140820,0.037,0.832,0.131,1.0
0001045810-14-000188,20141119,0.039,0.853,0.108,1.0
0001045810-15-000097,20150520,0.031,0.86,0.109,1.0
0001045810-15-000143,20150819,0.034,0.805,0.161,1.0
0001045810-15-000173,20151118,0.03,0.87,0.1,1.0
0001045810-16-000275,20160525,0.031,0.867,0.102,1.0
0001045810-16-000300,20160823,0.028,0.877,0.095,1.0
0001045810-16-000353,20161122,0.029,0.872,0.099,1.0
0001045810-17-000075,20170523,0.035,0.866,0.099,1.0
0001045810-17-000123,20170823,0.032,0.878,0.09,1.0
0001045810-17-000172,20171121,0.032,0.878,0.091,1.0
0001045810-18-000080,20180522,0.03,0.876,0.094,1.0
0001045810-18-000114,20180816,0.028,0.889,0.082,1.0
0001045810-18-000150,20181115,0.028,0.889,0.083,1.0
0001045810-19-000079,20190516,0.031,0.877,0.092,1.0
0001045810-19-000144,20190815,0.028,0.879,0.094,1.0
0001045810-19-000170,20191114,0.029,0.879,0.092,1.0
0001045810-20-000065,20200521,0.031,0.87,0.099,1.0
0001045810-20-000147,20200819,0.026,0.886,0.088,1.0
0001045810-20-000189,20201118,0.028,0.882,0.09,1.0
0001045810-21-000064,20210526,0.026,0.877,0.097,1.0
0001045810-21-000131,20210820,0.026,0.874,0.101,1.0
0001045810-21-000163,20211122,0.027,0.89,0.083,1.0
0001045810-22-000079,20220527,0.028,0.887,0.085,1.0
0001045810-22-000147,20220831,0.029,0.888,0.083,1.0
0001045810-22-000166,20221118,0.028,0.889,0.083,1.0
0001045810-23-000093,20230526,0.03,0.888,0.083,1.0
0001045810-23-000175,20230828,0.029,0.889,0.083,1.0
0001045810-23-000227,20231121,0.027,0.892,0.081,1.0
0001193125-03-047111,20030909,0.085,0.753,0.162,1.0
0001193125-06-243229,20061129,0.069,0.768,0.163,1.0
